GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator-maven-demo,org.myorg.calculator,Calculator,0,28,0,2,0,6,0,6,0,5
calculator-maven-demo,org.myorg.calculator,App,15,0,0,0,4,0,2,0,2,0
